Chỉ tiêu,Năm 2024,Năm 2025,Nguồn,,
GDP (nghìn tỷ VND),"11.511,9","12.847,6",NSO 2026,,
GDP (tỷ USD),"476,3","514,0",NSO 2026,,
GDP per capita (USD),4.700 ,5.026,NSO 2026,,
Tăng trưởng GDP (%),"7,09","8,02",NSO 2026,,
Dân số (triệu),"101,3","102,3",NSO 2026,,
FDI giải ngân (tỷ USD),"25,35","27,60",MPI - VN Briefing,,
Xuất khẩu hàng hóa (tỷ USD),"405,5","475,0",NSO 2026,,
Kinh tế số / GDP (%),"18,3","≈19,5","MIC, MoST 2025",,
Doanh thu CNTT-TT (tỷ USD),158,198,MoST 2026,,
Số doanh nghiệp công nghệ số,73.788,80.052,MoST 2026,,
Số startup AI,≈278,≈350+,Oxford Insights /,,
GII (xếp hạng / 139 quốc gia),44,44 (giữ vị trí),MIC,,
Đóng góp KH-CN vào GDP (%),"≈2,3","2,49",MoST 2026,,
